value,reportDate,prettyValue,realty_id,Адрес,URL,Год постройки,Тип дома,Этажность,Строительная серия,Высота потолков,Газоснабжение,Отопление,Тип перекрытий,Подъездов,Количество лифтов,Мусоропроводов,Квартир,Реновация,Аварийность,Детская площадка,Спортивная площадка,Фонд капитального ремонта,Расстояние до первой станции,Расстояние до второй станции,Расстояние до третьей станции,Название первой станции,Название второй станции,Название третьей станции,Ближайшая станция после тритмента расстояние,Ближайшая станция после тритмента,Ближайшая станция до тритмента расстояние,Ближайшая станция до тритмента,Сокращение расстояния,Number of queries,all_goods_cpi,rent_cpi,cum_goods_cpi,cum_rent_cpi,cumprod,discounted_value
180000.0,2020-03-01,180 000 ₽/м²,94,"Москва, улица Генерала Тюленева, 23К1",https://www.cian.ru/kalkulator-nedvizhimosti/?address=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C+%D1%83%D0%BB%D0%B8%D1%86%D0%B0+%D0%93%D0%B5%D0%BD%D0%B5%D1%80%D0%B0%D0%BB%D0%B0+%D0%A2%D1%8E%D0%BB%D0%B5%D0%BD%D0%B5%D0%B2%D0%B0%2C+23%D0%9A1&totalArea=34.9&roomsCount=1&offerId=313640883&floor=floorOther&repairType=repairTypeCosmetic,1977,,16,,2.48,Отсутствует,Центральное,Железобетонные,2.0,4 пассажирских,2,207.0,Нет,Нет,Да,Нет,На счете регионального оператора,790.0,1298.0,1956.0,Генерала Тюленева,Тёплый Стан,Тютчевская,790.0,Генерала Тюленева,1298.0,Тёплый Стан,508.0,145.0,1.0048,1.0,1.01204676832,1.0,1.0,180000.0
187500.0,2020-03-01,187 500 ₽/м²,87,"Москва, пос. Завода Мосрентген, 24",https://www.cian.ru/kalkulator-nedvizhimosti/?address=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C+%D0%BF%D0%BE%D1%81.+%D0%97%D0%B0%D0%B2%D0%BE%D0%B4%D0%B0+%D0%9C%D0%BE%D1%81%D1%80%D0%B5%D0%BD%D1%82%D0%B3%D0%B5%D0%BD%2C+24&totalArea=64.1&roomsCount=3&offerId=313274507&floor=floorOther&repairType=repairTypeCosmetic,1972,Блочный,12,II-18-01/12,2.64,Отсутствует,Центральное,Железобетонные,1.0,2 пассажирских,1,84.0,Нет,Нет,Нет,Нет,,1641.0,3472.0,4311.0,Тютчевская,Корниловская,Саларьево,1641.0,Тютчевская,3472.0,Корниловская,1831.0,145.0,1.0048,1.0,1.01204676832,1.0,1.0,187500.0
215887.0,2020-03-01,215 887 ₽/м²,46,"Москва, улица Академика Виноградова, 12",https://www.cian.ru/kalkulator-nedvizhimosti/?address=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C+%D1%83%D0%BB%D0%B8%D1%86%D0%B0+%D0%90%D0%BA%D0%B0%D0%B4%D0%B5%D0%BC%D0%B8%D0%BA%D0%B0+%D0%92%D0%B8%D0%BD%D0%BE%D0%B3%D1%80%D0%B0%D0%B4%D0%BE%D0%B2%D0%B0%2C+12&totalArea=50.8&roomsCount=2&offerId=304858455&floor=floorOther&repairType=repairTypeEuro,1975,Панельный,16,ii-68,2.48,Отсутствует,Центральное,Железобетонные,1.0,2 пассажирских,1,111.0,Нет,Нет,Да,Нет,На счете регионального оператора,1145.0,2849.0,4227.0,Генерала Тюленева,Тёплый Стан,Коньково,1145.0,Генерала Тюленева,2849.0,Тёплый Стан,1704.0,145.0,1.0048,1.0,1.01204676832,1.0,1.0,215887.0
138462.0,2020-03-01,138 462 ₽/м²,45,"Москва, улица Академика Виноградова, 4К1",https://www.cian.ru/kalkulator-nedvizhimosti/?address=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C+%D1%83%D0%BB%D0%B8%D1%86%D0%B0+%D0%90%D0%BA%D0%B0%D0%B4%D0%B5%D0%BC%D0%B8%D0%BA%D0%B0+%D0%92%D0%B8%D0%BD%D0%BE%D0%B3%D1%80%D0%B0%D0%B4%D0%BE%D0%B2%D0%B0%2C+4%D0%9A1&totalArea=34.1&roomsCount=1&offerId=305930485&floor=floorOne&repairType=repairTypeCosmetic,1975,,14,,2.64,Отсутствует,Центральное,Другие,1.0,2 пассажирских,1,96.0,Нет,Нет,Да,Нет,На счете регионального оператора,988.0,2683.0,4063.0,Генерала Тюленева,Тёплый Стан,Коньково,988.0,Генерала Тюленева,2683.0,Тёплый Стан,1695.0,145.0,1.0048,1.0,1.01204676832,1.0,1.0,138462.0
164407.0,2020-03-01,164 407 ₽/м²,44,"Москва, улица Академика Виноградова, 6",https://www.cian.ru/kalkulator-nedvizhimosti/?address=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C+%D1%83%D0%BB%D0%B8%D1%86%D0%B0+%D0%90%D0%BA%D0%B0%D0%B4%D0%B5%D0%BC%D0%B8%D0%BA%D0%B0+%D0%92%D0%B8%D0%BD%D0%BE%D0%B3%D1%80%D0%B0%D0%B4%D0%BE%D0%B2%D0%B0%2C+6&totalArea=60.0&roomsCount=3&offerId=308397152&floor=floorOther&repairType=repairTypeEuro,1975,Панельный,9,,2.64,Отсутствует,Центральное,Железобетонные,8.0,8 пассажирских,8,288.0,Нет,Нет,Нет,Нет,На специальном счете организации,1081.0,2892.0,4270.0,Генерала Тюленева,Тёплый Стан,Коньково,1081.0,Генерала Тюленева,2892.0,Тёплый Стан,1811.0,145.0,1.0048,1.0,1.01204676832,1.0,1.0,164407.0
212303.0,2020-03-01,212 303 ₽/м²,42,"Москва, улица Академика Варги, 3",https://www.cian.ru/kalkulator-nedvizhimosti/?address=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C+%D1%83%D0%BB%D0%B8%D1%86%D0%B0+%D0%90%D0%BA%D0%B0%D0%B4%D0%B5%D0%BC%D0%B8%D0%BA%D0%B0+%D0%92%D0%B0%D1%80%D0%B3%D0%B8%2C+3&totalArea=60.8&roomsCount=3&offerId=302971287&floor=floorOther&repairType=repairTypeCosmetic,1995,Панельный,14,П-55,2.64,Отсутствует,Центральное,Другие,7.0,14 пассажирских,7,320.0,Нет,Нет,Да,Да,На счете регионального оператора,982.0,2714.0,4090.0,Генерала Тюленева,Тёплый Стан,Коньково,982.0,Генерала Тюленева,2714.0,Тёплый Стан,1732.0,145.0,1.0048,1.0,1.01204676832,1.0,1.0,212303.0
173868.0,2020-03-01,173 868 ₽/м²,97,"Москва, улица Теплый Стан, 12К4",https://www.cian.ru/kalkulator-nedvizhimosti/?address=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C+%D1%83%D0%BB%D0%B8%D1%86%D0%B0+%D0%A2%D0%B5%D0%BF%D0%BB%D1%8B%D0%B9+%D0%A1%D1%82%D0%B0%D0%BD%2C+12%D0%9A4&totalArea=49.8&roomsCount=3&offerId=313168066&floor=floorOther&repairType=repairTypeCosmetic,1975,,9,,2.64,Отсутствует,Центральное,Другие,8.0,8 пассажирских,8,288.0,Нет,Нет,Да,Нет,На счете регионального оператора,717.0,2290.0,3667.0,Генерала Тюленева,Тёплый Стан,Коньково,717.0,Генерала Тюленева,2290.0,Тёплый Стан,1573.0,145.0,1.0048,1.0,1.01204676832,1.0,1.0,173868.0
184211.0,2020-03-01,184 211 ₽/м²,16,"Москва, Миклухо-Маклая улица, 25",https://www.cian.ru/kalkulator-nedvizhimosti/?address=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C+%D0%9C%D0%B8%D0%BA%D0%BB%D1%83%D1%85%D0%BE-%D0%9C%D0%B0%D0%BA%D0%BB%D0%B0%D1%8F+%D1%83%D0%BB%D0%B8%D1%86%D0%B0%2C+25&totalArea=38.7&roomsCount=1&offerId=310270512&floor=floorLast&repairType=repairTypeDesign,1967,Панельный,1,1605-АМ,2.5,Центральное,Центральное,Железобетонные,4.0,4 пассажирских,4,144.0,Нет,Нет,Да,Да,На специальном счете у регионального оператора,480.0,950.0,2251.0,Университет Дружбы Народов,Беляево,Калужская,480.0,Университет Дружбы Народов,950.0,Беляево,470.0,145.0,1.0048,1.0,1.01204676832,1.0,1.0,184211.0
179367.0,2020-03-01,179 367 ₽/м²,41,"Москва, улица Академика Варги, 5",https://www.cian.ru/kalkulator-nedvizhimosti/?address=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C+%D1%83%D0%BB%D0%B8%D1%86%D0%B0+%D0%90%D0%BA%D0%B0%D0%B4%D0%B5%D0%BC%D0%B8%D0%BA%D0%B0+%D0%92%D0%B0%D1%80%D0%B3%D0%B8%2C+5&totalArea=76.2&roomsCount=4&offerId=308144018&floor=floorOne&repairType=repairTypeCosmetic,1994,,14,,2.64,Отсутствует,Центральное,Другие,8.0,16 пассажирских,8,346.0,Нет,Нет,Да,Да,На счете регионального оператора,1036.0,2470.0,2908.0,Генерала Тюленева,Тютчевская,Тёплый Стан,1036.0,Генерала Тюленева,2908.0,Тёплый Стан,1872.0,145.0,1.0048,1.0,1.01204676832,1.0,1.0,179367.0
183134.0,2020-03-01,183 134 ₽/м²,40,"Москва, улица Теплый Стан, 14/2",https://www.cian.ru/kalkulator-nedvizhimosti/?address=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C+%D1%83%D0%BB%D0%B8%D1%86%D0%B0+%D0%A2%D0%B5%D0%BF%D0%BB%D1%8B%D0%B9+%D0%A1%D1%82%D0%B0%D0%BD%2C+14%2F2&totalArea=44.4&roomsCount=2&offerId=301200222&floor=floorOther&repairType=repairTypeCosmetic,1975,,9,,2.64,Центральное,Центральное,Другие,16.0,16 пассажирских,16,575.0,Нет,Нет,Да,Нет,На счете регионального оператора,717.0,2290.0,3667.0,Генерала Тюленева,Тёплый Стан,Коньково,717.0,Генерала Тюленева,2290.0,Тёплый Стан,1573.0,145.0,1.0048,1.0,1.01204676832,1.0,1.0,183134.0
