"value","reportDate","prettyValue","realty_id","Адрес","URL","Год.постройки","Тип.дома","Этажность","Строительная.серия","Высота.потолков","Газоснабжение","Отопление","Тип.перекрытий","Подъездов","Количество.лифтов","Мусоропроводов","Квартир","Реновация","Аварийность","Детская.площадка","Спортивная.площадка","Фонд.капитального.ремонта","Расстояние.до.первой.станции","Расстояние.до.второй.станции","Расстояние.до.третьей.станции","Название.первой.станции","Название.второй.станции","Название.третьей.станции","Ближайшая.станция.после.тритмента.расстояние","Ближайшая.станция.после.тритмента","Ближайшая.станция.до.тритмента.расстояние","Ближайшая.станция.до.тритмента","Сокращение.расстояния","Number.of.queries","cumprod","discounted_value","treatment","distance","weights","subclass","dummy_2021","dummy_2022","dummy_2023","dummy_2024","dummy_2025","Универcитет","Корниловская","Генерала_тюленева"
241441,"2021-03-01","241 441 ₽/м²",1,"Москва, улица Саморы Машела, 6","https://www.cian.ru/kalkulator-nedvizhimosti/?address=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C+%D1%83%D0%BB%D0%B8%D1%86%D0%B0+%D0%A1%D0%B0%D0%BC%D0%BE%D1%80%D1%8B+%D0%9C%D0%B0%D1%88%D0%B5%D0%BB%D0%B0%2C+6&totalArea=38.4&roomsCount=1&offerId=309089270&floor=floorOther&repairType=repairTypeDesign",2003,"Панельный",22,"КОПЭ",2.64,"Отсутствует","Центральное","Другие",2,"4 пассажирских, 2 грузовых","2",166,"Нет","Нет","Нет","Нет","На счете регионального оператора",881,2370,2957,"Университет Дружбы Народов","Беляево","Тропарёво",881,"Университет Дружбы Народов",2370,"Беляево",1489,5047,1.2618,191346.489142495,1,0.661660428843267,1,"11",1,0,0,0,0,1,0,0
249352,"2021-04-01","249 352 ₽/м²",1,"Москва, улица Саморы Машела, 6","https://www.cian.ru/kalkulator-nedvizhimosti/?address=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C+%D1%83%D0%BB%D0%B8%D1%86%D0%B0+%D0%A1%D0%B0%D0%BC%D0%BE%D1%80%D1%8B+%D0%9C%D0%B0%D1%88%D0%B5%D0%BB%D0%B0%2C+6&totalArea=38.4&roomsCount=1&offerId=309089270&floor=floorOther&repairType=repairTypeDesign",2003,"Панельный",22,"КОПЭ",2.64,"Отсутствует","Центральное","Другие",2,"4 пассажирских, 2 грузовых","2",166,"Нет","Нет","Нет","Нет","На счете регионального оператора",881,2370,2957,"Университет Дружбы Народов","Беляево","Тропарёво",881,"Университет Дружбы Народов",2370,"Беляево",1489,4886,1.2618,197616.103978443,1,0.661660428843267,1,"12",1,0,0,0,0,1,0,0
258928,"2021-05-01","258 928 ₽/м²",1,"Москва, улица Саморы Машела, 6","https://www.cian.ru/kalkulator-nedvizhimosti/?address=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C+%D1%83%D0%BB%D0%B8%D1%86%D0%B0+%D0%A1%D0%B0%D0%BC%D0%BE%D1%80%D1%8B+%D0%9C%D0%B0%D1%88%D0%B5%D0%BB%D0%B0%2C+6&totalArea=38.4&roomsCount=1&offerId=309089270&floor=floorOther&repairType=repairTypeDesign",2003,"Панельный",22,"КОПЭ",2.64,"Отсутствует","Центральное","Другие",2,"4 пассажирских, 2 грузовых","2",166,"Нет","Нет","Нет","Нет","На счете регионального оператора",881,2370,2957,"Университет Дружбы Народов","Беляево","Тропарёво",881,"Университет Дружбы Народов",2370,"Беляево",1489,3581,1.2618,205205.262323665,1,0.661660428843267,1,"13",1,0,0,0,0,1,0,0
273997,"2021-06-01","273 997 ₽/м²",1,"Москва, улица Саморы Машела, 6","https://www.cian.ru/kalkulator-nedvizhimosti/?address=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C+%D1%83%D0%BB%D0%B8%D1%86%D0%B0+%D0%A1%D0%B0%D0%BC%D0%BE%D1%80%D1%8B+%D0%9C%D0%B0%D1%88%D0%B5%D0%BB%D0%B0%2C+6&totalArea=38.4&roomsCount=1&offerId=309089270&floor=floorOther&repairType=repairTypeDesign",2003,"Панельный",22,"КОПЭ",2.64,"Отсутствует","Центральное","Другие",2,"4 пассажирских, 2 грузовых","2",166,"Нет","Нет","Нет","Нет","На счете регионального оператора",881,2370,2957,"Университет Дружбы Народов","Беляево","Тропарёво",881,"Университет Дружбы Народов",2370,"Беляево",1489,8302,1.3949,196427.70091046,1,0.661660428843267,1,"14",1,0,0,0,0,1,0,0
294263,"2021-07-01","294 263 ₽/м²",1,"Москва, улица Саморы Машела, 6","https://www.cian.ru/kalkulator-nedvizhimosti/?address=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C+%D1%83%D0%BB%D0%B8%D1%86%D0%B0+%D0%A1%D0%B0%D0%BC%D0%BE%D1%80%D1%8B+%D0%9C%D0%B0%D1%88%D0%B5%D0%BB%D0%B0%2C+6&totalArea=38.4&roomsCount=1&offerId=309089270&floor=floorOther&repairType=repairTypeDesign",2003,"Панельный",22,"КОПЭ",2.64,"Отсутствует","Центральное","Другие",2,"4 пассажирских, 2 грузовых","2",166,"Нет","Нет","Нет","Нет","На счете регионального оператора",881,2370,2957,"Университет Дружбы Народов","Беляево","Тропарёво",881,"Университет Дружбы Народов",2370,"Беляево",1489,15217,1.3949,210956.340956341,1,0.661660428843267,1,"15",1,0,0,0,0,1,0,0
300768,"2021-08-01","300 768 ₽/м²",1,"Москва, улица Саморы Машела, 6","https://www.cian.ru/kalkulator-nedvizhimosti/?address=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C+%D1%83%D0%BB%D0%B8%D1%86%D0%B0+%D0%A1%D0%B0%D0%BC%D0%BE%D1%80%D1%8B+%D0%9C%D0%B0%D1%88%D0%B5%D0%BB%D0%B0%2C+6&totalArea=38.4&roomsCount=1&offerId=309089270&floor=floorOther&repairType=repairTypeDesign",2003,"Панельный",22,"КОПЭ",2.64,"Отсутствует","Центральное","Другие",2,"4 пассажирских, 2 грузовых","2",166,"Нет","Нет","Нет","Нет","На счете регионального оператора",881,2370,2957,"Университет Дружбы Народов","Беляево","Тропарёво",881,"Университет Дружбы Народов",2370,"Беляево",1489,7491,1.3949,215619.757688723,1,0.661660428843267,1,"16",1,0,0,0,0,1,0,0
286521,"2021-09-01","286 521 ₽/м²",1,"Москва, улица Саморы Машела, 6","https://www.cian.ru/kalkulator-nedvizhimosti/?address=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C+%D1%83%D0%BB%D0%B8%D1%86%D0%B0+%D0%A1%D0%B0%D0%BC%D0%BE%D1%80%D1%8B+%D0%9C%D0%B0%D1%88%D0%B5%D0%BB%D0%B0%2C+6&totalArea=38.4&roomsCount=1&offerId=309089270&floor=floorOther&repairType=repairTypeDesign",2003,"Панельный",22,"КОПЭ",2.64,"Отсутствует","Центральное","Другие",2,"4 пассажирских, 2 грузовых","2",166,"Нет","Нет","Нет","Нет","На счете регионального оператора",881,2370,2957,"Университет Дружбы Народов","Беляево","Тропарёво",881,"Университет Дружбы Народов",2370,"Беляево",1489,11447,1.4572,196624.348064782,1,0.661660428843267,1,"17",1,0,0,0,0,1,0,0
292509,"2021-10-01","292 509 ₽/м²",1,"Москва, улица Саморы Машела, 6","https://www.cian.ru/kalkulator-nedvizhimosti/?address=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C+%D1%83%D0%BB%D0%B8%D1%86%D0%B0+%D0%A1%D0%B0%D0%BC%D0%BE%D1%80%D1%8B+%D0%9C%D0%B0%D1%88%D0%B5%D0%BB%D0%B0%2C+6&totalArea=38.4&roomsCount=1&offerId=309089270&floor=floorOther&repairType=repairTypeDesign",2003,"Панельный",22,"КОПЭ",2.64,"Отсутствует","Центральное","Другие",2,"4 пассажирских, 2 грузовых","2",166,"Нет","Нет","Нет","Нет","На счете регионального оператора",881,2370,2957,"Университет Дружбы Народов","Беляево","Тропарёво",881,"Университет Дружбы Народов",2370,"Беляево",1489,3829,1.4572,200733.598682405,1,0.661660428843267,1,"18",1,0,0,0,0,1,0,0
308614,"2021-11-01","308 614 ₽/м²",1,"Москва, улица Саморы Машела, 6","https://www.cian.ru/kalkulator-nedvizhimosti/?address=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C+%D1%83%D0%BB%D0%B8%D1%86%D0%B0+%D0%A1%D0%B0%D0%BC%D0%BE%D1%80%D1%8B+%D0%9C%D0%B0%D1%88%D0%B5%D0%BB%D0%B0%2C+6&totalArea=38.4&roomsCount=1&offerId=309089270&floor=floorOther&repairType=repairTypeDesign",2003,"Панельный",22,"КОПЭ",2.64,"Отсутствует","Центральное","Другие",2,"4 пассажирских, 2 грузовых","2",166,"Нет","Нет","Нет","Нет","На счете регионального оператора",881,2370,2957,"Университет Дружбы Народов","Беляево","Тропарёво",881,"Университет Дружбы Народов",2370,"Беляево",1489,5839,1.4572,211785.616250343,1,0.661660428843267,1,"19",1,0,0,0,0,1,0,0
308614,"2021-12-01","308 614 ₽/м²",1,"Москва, улица Саморы Машела, 6","https://www.cian.ru/kalkulator-nedvizhimosti/?address=%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C+%D1%83%D0%BB%D0%B8%D1%86%D0%B0+%D0%A1%D0%B0%D0%BC%D0%BE%D1%80%D1%8B+%D0%9C%D0%B0%D1%88%D0%B5%D0%BB%D0%B0%2C+6&totalArea=38.4&roomsCount=1&offerId=309089270&floor=floorOther&repairType=repairTypeDesign",2003,"Панельный",22,"КОПЭ",2.64,"Отсутствует","Центральное","Другие",2,"4 пассажирских, 2 грузовых","2",166,"Нет","Нет","Нет","Нет","На счете регионального оператора",881,2370,2957,"Университет Дружбы Народов","Беляево","Тропарёво",881,"Университет Дружбы Народов",2370,"Беляево",1489,8106,1.5085,204583.360954591,1,0.661660428843267,1,"20",1,0,0,0,0,1,0,0
